"feature_area","feature","wardian","orca_ade","cmux","conductor","t3code","comparison_notes","source_urls"
"Agents","Provider feedback or diagnostic submission","Not evidenced as a general Wardian feature","Not evidenced in reviewed Orca docs","Not evidenced in reviewed cmux docs","Not evidenced in reviewed Conductor docs","Yes - /feedback uploads T3/Codex thread and logs with shareable thread ID","T3's provider feedback command is a narrow but explicit feature.","https://github.com/pingdotgg/t3code/blob/main/docs/user/providers-codex.md"
"Agents","Usage rate limits and cost tracking","Yes - Analytics/telemetry matrix for agent/model/provider activity; cost support depends on provider telemetry","Yes - local usage/rate-limit windows, multi-account usage, and estimated cost","Not evidenced as provider usage accounting","Partial - own provider subscriptions/API keys; no product usage dashboard evidenced","Yes - usage page, token/cost toggles, provider/model usage, and account/provider detail","Orca and T3 explicitly expose usage/rate-limit views; Wardian's analytics is more event/telemetry-oriented.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/analytics.md;https://www.onorca.dev/docs/agents/usage-tracking;https://www.conductor.build/docs/cloud;https://github.com/pingdotgg/t3code/blob/main/docs/user/usage.md"
"Communication","Broadcast to multiple agents","Yes - select agents and broadcast/inject prompts through UI and CLI","Partial - fan-out prompt across parallel worktrees","Partial - send input to selected panes/workspaces via CLI/socket","Partial - prompt together in shared workspace; broad broadcast not a core API","Partial - multiple threads/background tasks; no dedicated broadcast command evidenced","Wardian has a named broadcast/prompt-injection feature; Orca has fan-out.","https://github.com/wardian-app/Wardian/blob/main/docs/features.md;https://www.onorca.dev/docs/model/worktrees;https://github.com/manaflow-ai/cmux/blob/main/docs/cli-contract.md;https://www.conductor.build/;https://github.com/pingdotgg/t3code/blob/main/docs/internals/overview.md"
"Communication","Structured ask and reply handoff","Yes - ask/reply with durable IDs, choices, statuses, wait, and agent-facing CLI","Partial - orchestration messages/decision gates; exact ask/reply semantics not fully public","Not evidenced as a structured inter-agent ask/reply store","Partial - chats and collaboration; structured agent handoff not a core documented API","Partial - messages/replies and user-input responses in orchestration runtime; public ask/reply UX not as explicit","Wardian's ask/reply protocol is a distinctive coordination primitive.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/cli.md;https://www.onorca.dev/docs/cli/orchestration;https://www.conductor.build/docs/cloud/collaboration;https://github.com/pingdotgg/t3code/blob/main/docs/internals/providers.md"
"Communication","Manual approval request with explicit choices","Yes - wardian notify approval with action, risk, two-to-five choices, expiry, and durable decision","Partial - computer-use permission gate and provider approvals","Yes - cmux Feed exposes permission, ExitPlanMode, and AskUserQuestion cards with explicit decisions bridged back to hooks","Yes - approval/permissions and workflow gates; exact Wardian notify contract not evidenced","Yes - provider approvals and user-input responses; manual Wardian-style approval contract not evidenced","This row distinguishes product-owned approvals from provider-native permission prompts.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/inbox.md;https://www.onorca.dev/docs/cli/computer-use;https://github.com/manaflow-ai/cmux/blob/main/docs/feed.md;https://www.conductor.build/docs/reference/security-and-permissions;https://github.com/pingdotgg/t3code/blob/main/docs/internals/providers.md"
"Communication","Inbox or activity feed","Yes - Inbox/Queue projects completions, updates, approvals, provider Action Needed, and workflow outcomes; current README uses Queue while the guide uses Inbox","Yes - threaded Agents feed for completions, blocking questions, unread, and worktree events","Yes - notification panel/feed/sidebar attention surfaces","Yes - Home/collaboration feed, shared chats, presence, and workspace activity","Partial - thread sidebar, messages, completion states, and usage; a Wardian-style unified Inbox projection not evidenced","Inbox/Queue semantics are strongest in Wardian and Orca; Conductor emphasizes workspace collaboration.","https://github.com/wardian-app/Wardian/blob/main/README.md;https://github.com/wardian-app/Wardian/blob/main/docs/guide/inbox.md;https://www.onorca.dev/docs/activity;https://cmux.com/;https://www.conductor.build/docs/cloud/collaboration;https://github.com/pingdotgg/t3code/blob/main/docs/user/thread-sidebar.md"
"Communication","Unread badges and triage actions","Yes - persisted unread projections, badges, mark read, clear, dismiss, expand summaries","Yes - persistent unread bell, mark unread, notifications","Yes - unread badges, attention rings, popover, and macOS notifications","Partial - presence/activity and chat; unread behavior not fully evidenced","Partial - thread/sidebar state and settled/pinned organization; unified unread triage less evidenced","cmux's attention ring and Wardian's durable triage are different interaction models.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/inbox.md;https://www.onorca.dev/docs/notifications;https://cmux.com/;https://www.conductor.build/docs/cloud/collaboration;https://github.com/pingdotgg/t3code/blob/main/docs/user/thread-sidebar.md"
"Communication","Native provider Action Needed status","Yes - provider runtime evidence becomes a distinct Action Needed item and is not generic Blocked","Yes - waiting/blocked status glyphs from hooks/OSC; provider-specific prompt handling less evidenced","Yes - Feed hooks and Codex Teams bridge actionable provider/agent requests while preserving native-TUI fallback semantics","Partial - agent permissions and checks surface action; provider-normalized status details not evidenced","Yes - provider approval and user-input requests are structured orchestration events","This is a status-normalization comparison, not a claim that all products use the same status taxonomy.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/inbox.md;https://www.onorca.dev/docs/model/agents-sessions;https://github.com/manaflow-ai/cmux/blob/main/docs/feed.md;https://www.conductor.build/docs/reference/security-and-permissions;https://github.com/pingdotgg/t3code/blob/main/docs/internals/providers.md"
"Communication","Agent communication graph/topology","Yes - Graph view, manual/team-seeded edges, workspace fallback, neighbors, activity, ignore/unignore, topology.json","Not evidenced as a durable agent communication graph","Not evidenced as a durable graph; workspace groups are not a relationship topology","Not evidenced as a durable agent graph","Not evidenced as a product-level agent graph; orchestration relationships exist internally","Wardian's Graph is a major unique feature.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/graph.md;https://github.com/pingdotgg/t3code/blob/main/docs/internals/overview.md"
"Communication","Watchlists and live roster monitoring","Yes - customizable Watchlists with status lights, thought bubbles, columns, sorting, groups, teams, and lifecycle actions","Yes - Agent Dashboard kanban across worktrees with filters and pop-out","Partial - sidebar metadata, tabs, attention, and feed; no equivalent watchlist columns evidenced","Partial - workspace Home, presence, filters, and active work; no equivalent customizable roster","Partial - agents/thread sidebar and status; no equivalent watchlist column model evidenced","Wardian's watchlist and thought-bubble monitoring is distinct from product/workspace feeds.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/watchlists.md;https://www.onorca.dev/docs/model/agents-sessions;https://www.conductor.build/docs/cloud/collaboration;https://github.com/pingdotgg/t3code/blob/main/docs/user/thread-sidebar.md"
"Communication","Live thought or activity telemetry beside agents","Yes - provider thought bubbles and telemetry snippets in roster/watchlists","Partial - status glyphs and agent feed; internal thought display not clearly documented","Partial - latest notification/sidebar metadata; no agent thought bubble evidenced","Not evidenced as internal thought display","Partial - tool/activity messages and provider subagent model/reasoning; no thought-bubble roster evidenced","Wardian describes this as an explicit monitoring feature; avoid conflating transcript output with private chain-of-thought.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/watchlists.md;https://www.onorca.dev/docs/activity;https://cmux.com/;https://github.com/pingdotgg/t3code/blob/main/docs/user/providers-codex.md"
"Workflows","Visual workflow builder","Yes - visual node graph builder, node settings, variable assistant, validation, run/observe/monitor modes","Partial - orchestration Run/Tasks/Dispatches and decision gates; visual builder not evidenced","Not evidenced as a workflow builder","Partial - workflow concepts and run scripts; no visual graph builder evidenced","Partial - orchestration layers and checkpoints; no end-user visual builder evidenced","Wardian is the only product in this set with a documented visual workflow view.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/automations.md;https://www.onorca.dev/docs/cli/orchestration;https://www.conductor.build/docs/concepts/workflow;https://github.com/pingdotgg/t3code/blob/main/docs/internals/overview.md"
"Workflows","DAG tasks dependencies and dispatches","Yes - deterministic workflow engine, assignments, branches, loops, waits, shared storage, and run state","Yes - structured Run/Tasks/Dispatches, supervised workers, dependencies, heartbeat/completion, decision gates","Not evidenced as a durable orchestration DAG","Partial - independent workspace units and parallel-agent workflow; no public DAG primitive evidenced","Yes - orchestration commands, reactors, projections, checkpoints, and thread turns; public DAG task UX not evidenced","Orca and T3 have orchestration layers; Wardian exposes a user-facing deterministic workflow engine.","https://github.com/wardian-app/Wardian/blob/main/docs/developer/automation-engine.md;https://www.onorca.dev/docs/cli/orchestration;https://www.conductor.build/docs/concepts/workflow;https://github.com/pingdotgg/t3code/blob/main/docs/internals/overview.md"
"Workflows","Branch loop and wait control flow","Yes - deterministic branch/loop/wait nodes with workflow-owned execution","Partial - decision gates and dependencies; loop semantics not evidenced","Not evidenced","Partial - workflow concepts mention independent work and verification; control-flow nodes not evidenced","Not evidenced as an end-user workflow control-flow surface","This is a deep workflow-engine comparison; absent means no first-party evidence found.","https://github.com/wardian-app/Wardian/blob/main/docs/developer/automation-engine.md;https://www.onorca.dev/docs/cli/orchestration;https://www.conductor.build/docs/concepts/workflow;https://github.com/pingdotgg/t3code/blob/main/docs/internals/overview.md"
"Workflows","Manual scheduled and listener triggers","Yes - manual, scheduled, and listener triggers plus persisted schedules","Yes - scheduled automations with hourly/daily/weekdays/weekly/cron/RRULE","Not evidenced as scheduled workflows","Partial - workflow/run scripts and project automation; scheduled triggers not central","Partial - background service and server commands; scheduled workflow trigger not evidenced","Orca has a strong documented automation scheduler; Wardian combines schedule and listener triggers.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/automations.md;https://www.onorca.dev/docs/cli/automations;https://www.conductor.build/docs/concepts/workflow;https://github.com/pingdotgg/t3code/blob/main/docs/user/background-service.md"
"Workflows","Workflow parameters and shared storage","Yes - input schemas/parameters, variables, shared workflow storage, provider/workspace assignment","Partial - durable orchestration namespace/inbox and worker state","Not evidenced","Partial - attached context and environment variables; workflow parameter schema not evidenced","Partial - thread composer attachments and orchestration commands; public workflow storage not evidenced","Wardian's workflow runtime is the most explicit application-level shared state model.","https://github.com/wardian-app/Wardian/blob/main/docs/developer/automation-engine.md;https://www.onorca.dev/docs/cli/orchestration;https://www.conductor.build/docs/cloud/environment-variables;https://github.com/pingdotgg/t3code/blob/main/docs/internals/overview.md"
"Workflows","Run monitoring and workflow outcome triage","Yes - Workflows Monitor, active/recent runs, graph state, timeline, node outputs, approval controls, Inbox outcomes","Partial - orchestration status/heartbeat/completion and Agents feed","Not evidenced","Yes - checks, testing, workspace status, PR/review, and collaboration","Partial - projections/subscriptions, thread status, and diagnostics; no workflow monitor UI evidenced","Wardian has a dedicated run observer; Conductor has workspace-level checks and testing.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/automations.md;https://www.onorca.dev/docs/cli/orchestration;https://www.conductor.build/docs/reference/checks;https://github.com/pingdotgg/t3code/blob/main/docs/internals/overview.md"
"Workflows","Workflow approvals and gates","Yes - workflow approval nodes project to Inbox and engine remains authoritative","Yes - supervised workers and decision gates","Not evidenced","Partial - agent permissions and review gates; workflow approval node not evidenced","Partial - provider approval/user-input events and checkpoint revert; workflow approval UX not evidenced","Wardian's workflow approval projection is distinct from provider permissions.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/inbox.md;https://www.onorca.dev/docs/cli/orchestration;https://www.conductor.build/docs/concepts/agent-modes;https://github.com/pingdotgg/t3code/blob/main/docs/internals/providers.md"
"Workflows","Checkpoint capture revert replay or undo","Partial - workflow runs, snapshots, source-control recovery, and durable run evidence","Yes - worktree checkpoints with status/comments; compare/review lifecycle","Partial - session restore and scrollback; no Git checkpoint model evidenced","Partial - workspace review/merge/archive; no explicit checkpoint revert evidenced","Yes - checkpoint reactor captures turn start/completion and supports checkpoint revert; transactional event projections","T3's checkpoint reactor and Orca's worktree checkpoints are the clearest matches.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/automations.md;https://www.onorca.dev/docs/cli/worktree-checkpoints;https://www.conductor.build/docs/reference/diff-viewer;https://github.com/pingdotgg/t3code/blob/main/docs/internals/providers.md"
"Surfaces","Workbench or multi-surface shell","Yes - Workbench composes agents, terminals, files, Inbox, workflows, Graph, and Source Control","Yes - worktree IDE with terminal/editor/browser/diff/PR tabs","Yes - native workspaces with terminal/browser/markdown/file-preview surfaces","Yes - workspace-centric UI with chat, terminal, diff, checks, and PR","Yes - web/desktop/mobile clients around one server runtime with thread/sidebar surfaces","Wardian Workbench and cmux surface protocol are explicit compositional shells.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/workbench.md;https://www.onorca.dev/docs/model/tabs-panes-splits;https://github.com/manaflow-ai/cmux/blob/main/docs/cli-contract.md;https://www.conductor.build/docs/first-workspace;https://github.com/pingdotgg/t3code/blob/main/docs/internals/overview.md"
"Surfaces","Tabs panes and splits","Yes - persistent tabs/panes, split Workbench, surface tabs, and context-preserving layout","Yes - tabs, nested right/bottom splits, persistent pane boundaries per worktree","Yes - vertical/horizontal tabs, splits, workspace groups, and BonsplitView","Partial - panels and right-panel tabs; split-terminal layout not a primary documented model","Partial - thread/sidebar and right-panel review tabs; arbitrary pane grid not a core documented feature","cmux and Orca make terminal/surface tiling central; Wardian makes multi-tool Workbench composition central.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/workbench.md;https://www.onorca.dev/docs/model/tabs-panes-splits;https://cmux.com/;https://www.conductor.build/docs/reference/diff-viewer;https://github.com/pingdotgg/t3code/blob/main/docs/user/source-control.md"
"Surfaces","Integrated terminal","Yes - provider PTYs, user terminal, terminal cards, scrollback, resize, ownership, remote handoff","Yes - xterm.js terminal, tabs/splits, search, links, floating terminal, Quick Commands","Yes - libghostty terminal with native fidelity, tabs/splits, SSH, scrollback","Yes - terminal per workspace/agent and Big Terminal Mode","Yes - terminal sessions and PTYs owned by server; web/desktop/mobile access","Terminal is common to all five; cmux and Wardian emphasize terminal fidelity/ownership, T3 emphasizes server ownership.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/grid.md;https://www.onorca.dev/docs/terminal;https://cmux.com/;https://www.conductor.build/docs/reference/big-terminal-mode;https://github.com/pingdotgg/t3code/blob/main/docs/architecture/terminal-renderers.md"
"Surfaces","Native terminal fidelity and raw interactive TUI","Yes - ConPTY/Unix PTY, raw keys, approvals, TUIs, alternate screen, clickable links","Yes - Ghostty-class WebGL terminal, kitty keyboard protocol, OSC52","Yes - libghostty native terminal fidelity","Partial - terminal supports arbitrary agents/commands; renderer internals not deeply documented","Partial - terminal renderers and provider PTY support; details are implementation-specific","TUI/raw-key fidelity is explicitly documented for Wardian, Orca, and cmux.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/grid.md;https://www.onorca.dev/docs/terminal;https://cmux.com/;https://github.com/pingdotgg/t3code/blob/main/docs/architecture/terminal-renderers.md"
"Surfaces","Terminal ownership and mirrored presentations","Yes - Owner/Mirror/Connecting, explicit focus claim, read-only mirrors, geometry broker","Partial - persistent panes and session restore; explicit owner/mirror model not evidenced","Partial - surface focus and workspace pane control; explicit mirror semantics not a headline feature","Not evidenced","Not evidenced as a public owner/mirror terminal presentation model","This is a Wardian-specific multi-renderer correctness feature.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/workbench.md"
"Surfaces","File explorer and filesystem actions","Yes - Explorer, create/rename/delete/move, live file views, recovery, drag/drop, agent context","Yes - live file explorer, create/rename/delete/move, git status, remote download, find in folder","Yes - file preview, open files/directories/URLs, drag/drop copy/upload","Partial - attached files/context and workspace filesystem; rich explorer not a headline surface","Yes - filesystem RPC, projects, file browsing, uploads, and attachments","Orca has the most explicit file-explorer interaction; T3's server owns filesystem access.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/explorer.md;https://www.onorca.dev/docs/editing/file-explorer;https://github.com/manaflow-ai/cmux/blob/main/docs/cli-contract.md;https://www.conductor.build/docs/first-workspace;https://github.com/pingdotgg/t3code/blob/main/docs/internals/remote.md"
"Surfaces","Code editor with autosave","Partial - file editor and source-control context; Monaco-specific experience not evidenced","Yes - Monaco editor, autosave, multi-cursor, HEAD-versus-working-tree view, minimap","Not evidenced as a full code editor","Partial - review/diff/workspace editing; dedicated Monaco editor not evidenced","Partial - file editing/filesystem supported; dedicated code-editor surface not clearly documented","Orca's Monaco editor is a documented differentiator.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/workbench.md;https://www.onorca.dev/docs/editing/monaco;https://www.conductor.build/docs/reference/diff-viewer;https://github.com/pingdotgg/t3code/blob/main/docs/internals/remote.md"
"Surfaces","Rich Markdown editor/viewer","Yes - Markdown library entries, editor, previews, workflow files, inspectable docs","Yes - rich Markdown with raw toggle, slash menu, Mermaid, tables, frontmatter, wiki links","Yes - Markdown viewer surface","Partial - Markdown prompts/context and review text; rich editor not evidenced","Partial - Markdown messages/docs; standalone rich Markdown viewer not evidenced","Orca and cmux explicitly document Markdown surfaces; Wardian uses Markdown as a core state format.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/library.md;https://www.onorca.dev/docs/editing/markdown;https://github.com/manaflow-ai/cmux/blob/main/docs/cli-contract.md;https://www.conductor.build/docs/reference/slash-commands;https://github.com/pingdotgg/t3code/blob/main/docs/user/composer.md"
"Surfaces","File previews for images PDF HTML Mermaid","Yes - artifacts and file previews; exact format matrix is less central","Yes - HTML sandboxed viewer, Mermaid, PDF, image, rich Markdown viewers","Yes - filePreview/markdown surfaces and open routing","Partial - attached screenshots/logs/specs and workspace review; broad viewer matrix not evidenced","Partial - file attachments and server filesystem; rich preview matrix not evidenced","Orca documents the broadest explicit preview matrix.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/explorer.md;https://www.onorca.dev/docs/editing/viewers;https://github.com/manaflow-ai/cmux/blob/main/docs/cli-contract.md;https://www.conductor.build/docs/first-workspace;https://github.com/pingdotgg/t3code/blob/main/docs/user/composer.md"
"Surfaces","Embedded browser per project or worktree","Partial - Browser surface exists; provider/browser integration is more limited than Orca/cmux","Yes - real Chromium per worktree with tabs, history, cookies, and profiles","Yes - real browser pane with state persistence","Not evidenced in reviewed first-party docs","Partial - desktop-only Electron Chromium preview with per-thread tab state, persistent partitions, and device viewport controls; not a full Orca/cmux-style browser workspace","Browser is a strong Orca/cmux feature; T3 has a product preview browser but not the same browser-automation workspace model.","https://github.com/wardian-app/Wardian/blob/main/docs/developer/browser-surface.md;https://www.onorca.dev/docs/browser/overview;https://cmux.com/;https://www.conductor.build/docs;https://github.com/pingdotgg/t3code/blob/main/packages/contracts/src/preview.ts"
"Surfaces","Browser automation actions","Partial - browser surface/automation is documented but scope is smaller","Yes - real Chromium design and browser-use automation","Yes - snapshot, eval, wait, click, fill, press, screenshot, console, network, and more","Not evidenced","Partial - preview automation contracts support open/navigate/click/type/press/scroll/evaluate/wait, screenshots, recording, viewport, and color-scheme operations through a desktop host","cmux and Orca expose broader general-purpose browser automation APIs; T3's automation is tied to its preview surface.","https://github.com/wardian-app/Wardian/blob/main/docs/developer/browser-surface.md;https://www.onorca.dev/docs/browser/design-mode;https://cmux.com/docs/browser-automation;https://github.com/pingdotgg/t3code/blob/main/packages/contracts/src/previewAutomation.ts"
"Surfaces","Browser profiles cookies and identity","Partial - browser state/auth handling exists; product-level profile matrix not evidenced","Yes - per-worktree profiles with cookies, UA, viewport, Chrome/Edge import","Yes - browser profiles/import, cookies, storage, and state controls","Not evidenced","Partial - per-thread persistent Chromium partitions with scoped cookie/cache clearing; no documented Chrome/Edge import or profile picker","Orca and cmux provide the clearest documented browser identity controls.","https://www.onorca.dev/docs/browser/profiles;https://cmux.com/docs/browser-automation;https://github.com/wardian-app/Wardian/blob/main/docs/developer/browser-surface.md;https://github.com/pingdotgg/t3code/blob/main/apps/desktop/src/preview/BrowserSession.ts"
"Surfaces","Design Mode UI element capture","Not evidenced as a Wardian feature","Yes - click real Chromium UI element and capture HTML, computed CSS, screenshot, source file/line into prompt","Not evidenced as a named feature","Not evidenced","Not evidenced","Orca Design Mode is a distinctive feature.","https://www.onorca.dev/docs/browser/design-mode"
"Surfaces","Mobile companion or remote control UI","Yes - paired phone PWA with roster, agent detail, terminal/chat, lifecycle actions, Inbox, and settings limits","Yes - iOS/Android companion to monitor, steer, receive notifications, and follow up","Yes - iOS app beta pairing","Partial - mobile client/collaboration is advertised; public availability and exact surface scope are evolving","Partial - mobile client exists in the repository and remote-access docs describe mobile use, but the current mobile README marks distribution as in development","All five have some mobile story; the matrix preserves current availability caveats rather than treating every mobile code path as generally shipped.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/remote-control.md;https://www.onorca.dev/docs/mobile;https://cmux.com/;https://www.conductor.build/;https://github.com/pingdotgg/t3code/blob/main/docs/user/remote-access.md;https://github.com/pingdotgg/t3code/blob/main/apps/mobile/README.md"
"Surfaces","Command palette quick open and jump navigation","Yes - Command surface, command palette, quick actions, agent/workflow/library navigation","Yes - Cmd-P file search, new-tab omnibox, Cmd-J jump across worktrees/tabs","Yes - command palette, custom commands, quick open","Partial - Spotlight/testing/action menus and project navigation; exact quick-open surface not evidenced","Yes - Cmd/Ctrl+K Command Palette, Add Project, settings/actions, thread navigation","Navigation is a common shell feature, but implementations differ.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/command-panel.md;https://www.onorca.dev/docs/model/quick-open;https://github.com/manaflow-ai/cmux/blob/main/docs/cli-contract.md;https://www.conductor.build/docs/concepts/testing;https://github.com/pingdotgg/t3code/blob/main/docs/user/source-control.md"
"Git","Git status and changed-file overview","Yes - Source Control, status, staging, diffs, change review, history","Yes - combined staged/unstaged/untracked diff and status","Partial - sidebar branch/PR/cwd and terminal Git; no dedicated source-control panel evidenced","Yes - Diff Viewer and Checks show status, changes, PR, CI, deployments, comments, todos","Yes - Git manager, source-control settings, branch/PR state, and changed files","Git is universal, but cmux relies more on terminal/socket primitives.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/source-control.md;https://www.onorca.dev/docs/review/diff-viewer;https://cmux.com/;https://www.conductor.build/docs/reference/checks;https://github.com/pingdotgg/t3code/blob/main/docs/user/source-control.md"
"Git","Hunk and line staging or discard","Yes - stage/unstage/discard changes and change-review snapshots","Yes - hunk/line staging, compare arbitrary refs, conflict resolution","Not evidenced as a native hunk/line staging UI","Partial - review and resolve changes; exact hunk staging not evidenced","Partial - Git operations/source-control UI; line-level staging not evidenced","Orca documents the richest line-level review controls.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/source-control.md;https://www.onorca.dev/docs/review/diff-viewer;https://www.conductor.build/docs/reference/diff-viewer;https://github.com/pingdotgg/t3code/blob/main/docs/user/source-control.md"
"Git","Diff viewer and arbitrary comparison refs","Yes - diff/change review, snapshots, history, per-agent source control","Yes - staged/unstaged/untracked, commit/branch/base comparisons, image diffs","Partial - markdown/file previews and terminal Git; dedicated diff viewer not evidenced","Yes - unified diff viewer, changed files, unrelated edits, conflicts, review context","Partial - source-control and review integrations; dedicated rich diff viewer not evidenced","Orca and Conductor are strongest on first-class diff review; Wardian integrates it per agent.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/source-control.md;https://www.onorca.dev/docs/review/diff-viewer;https://www.conductor.build/docs/reference/diff-viewer;https://github.com/pingdotgg/t3code/blob/main/docs/user/source-control.md"
"Git","Inline diff comments sent back to agent","Not evidenced as a dedicated Wardian diff-comment feature","Yes - exact line comments, tracking, batch Send to agent, resolve/re-review","Not evidenced","Partial - comments/review threads and agent collaboration; exact diff-line send-back not evidenced","Not evidenced as a dedicated diff-comment-to-agent feature","Orca Annotate AI Diff is a distinctive review loop.","https://www.onorca.dev/docs/review/annotate-ai-diff;https://www.conductor.build/docs/reference/diff-viewer"
"Git","AI versus human line attribution","Partial - change review attributes file paths to agent turns or inferred workspace writes; individual lines are not attributed as AI or human","Yes - local provenance of AI/human lines and export metadata","Not evidenced","Not evidenced","Not evidenced","Orca remains the only product here with explicit line-level AI/human attribution.","https://github.com/wardian-app/Wardian/blob/main/src-tauri/src/commands/change_review.rs;https://github.com/wardian-app/Wardian/blob/main/src/features/changes/ChangesPanel.tsx;https://www.onorca.dev/docs/review/attribution"
"Git","Commit and push workflow","Yes - commit, pull, push, history, per-agent source control, optional worktree","Yes - commit/push, AI commit messages, pre-commit hooks, safe force-push lease","Partial - terminal/Git CLI and remote SSH; no native commit UI evidenced","Yes - commit/merge/archive/PR workflow","Yes - Git workflow and source-control integrations","All can commit/push through some path; Orca and Conductor document richer integrated controls.","https://github.com/wardian-app/Wardian/blob/main/docs/features.md;https://www.onorca.dev/docs/review/commit-push;https://www.conductor.build/docs/concepts/workflow;https://github.com/pingdotgg/t3code/blob/main/docs/user/source-control.md"
"Git","Pull request or merge request creation","Partial - GitHub/review workflow exists; provider matrix not as explicit","Yes - GitHub/GitLab/Bitbucket/Azure DevOps/Gitea reviews and PRs/MRs","Partial - branch/PR sidebar metadata and terminal workflows","Yes - PR/review/merge lifecycle and linked checks","Yes - GitHub PRs, GitLab MRs, Bitbucket PRs, Azure DevOps PRs","T3 and Orca explicitly document broad hosted review integrations.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/source-control.md;https://www.onorca.dev/docs/review/github;https://www.conductor.build/docs/reference/checks;https://github.com/pingdotgg/t3code/blob/main/docs/user/source-control.md"
"Git","Review checks CI deployments issues comments","Partial - source control, change review, telemetry, and workflow outcomes; external CI matrix not a headline","Yes - PR checks, hosted reviews/issues/Actions, Linear/Jira drawers","Partial - PR/branch/ports/sidebar metadata and notifications","Yes - Git status, PR metadata, CI/status checks, deployments, GitHub comments/review threads, todos","Partial - PR/review integration and linked reviews; CI/deployments breadth not fully evidenced","Conductor explicitly combines checks, deployments, comments, and todos in one review surface.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/source-control.md;https://www.onorca.dev/docs/review/github;https://www.conductor.build/docs/reference/checks;https://github.com/pingdotgg/t3code/blob/main/docs/user/source-control.md"
"Git","Merge conflict resolution","Partial - change review and Git controls; explicit three-way UI not evidenced","Yes - 3-way merge conflict resolution in diff viewer","Not evidenced as native UI","Yes - resolve conflicts before PR/merge; exact UI detail not fully evidenced","Partial - Git operations and review; dedicated conflict UI not evidenced","Orca explicitly documents a three-way resolution view.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/source-control.md;https://www.onorca.dev/docs/review/diff-viewer;https://www.conductor.build/docs/concepts/workflow;https://github.com/pingdotgg/t3code/blob/main/docs/user/source-control.md"
"Git","Hosted issue and project integrations","Partial - GitHub/provider links; Linear/project-board integration not a core Wardian feature","Yes - GitHub and Linear native; Jira drawers and project boards","Not evidenced","Partial - GitHub/cloud collaboration; Linear/Jira integration not evidenced in reviewed docs","Not evidenced as a native issue/project-board integration","Orca has the strongest explicit issue/project integrations.","https://www.onorca.dev/docs/review/github;https://www.onorca.dev/docs/review/linear;https://www.conductor.build/docs;https://github.com/pingdotgg/t3code/blob/main/docs/user/source-control.md"
"Remote","SSH remote workspaces","Yes - remote control and remote agent/workspace handoff; exact remote file/PTY breadth is narrower","Yes - SSH worktrees with remote file/git/editor/diff/browser, reconnect, downloads, port forwarding","Yes - SSH workspaces, attach remote tmux, remote browser, scp uploads, reconnect","Partial - local/cloud split and SSH/file sync; remote SSH workspaces are less central","Yes - desktop-managed SSH launch, remote server owns projects/files/Git/terminals/providers","All five address remote execution; Orca/cmux/T3 document the richest SSH-specific details.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/remote-control.md;https://www.onorca.dev/docs/ssh;https://cmux.com/docs/ssh;https://www.conductor.build/docs/cloud;https://github.com/pingdotgg/t3code/blob/main/docs/user/remote-access.md"
"Remote","Headless server or daemon","Partial - app-owned backend/CLI and remote gateway; no Wardian headless server product claim","Yes - orca serve and Remote Orca Server","Partial - remote SSH/tmux; no separate cmux headless server claim","Yes - Cloud workspaces continue after laptop closes; local app is controller","Yes - t3 serve headless server and background service","T3 and Orca explicitly expose headless/daemon paths.","https://github.com/wardian-app/Wardian/blob/main/docs/guide/remote-control.md;https://www.onorca.dev/docs/remote-servers;https://www.conductor.build/docs/cloud;https://github.com/pingdotgg/t3code/blob/main/docs/user/remote-access.md"
